 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Mg_Butane_140Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 MeV   1.916E-01  1.006E-04    1.15 m     42.55 mm     5.78 mm  
 400.00 MeV   1.818E-01  9.496E-05    1.28 m     46.59 mm     6.40 mm  
 450.00 MeV   1.653E-01  8.540E-05    1.57 m     61.97 mm     7.71 mm  
 500.00 MeV   1.519E-01  7.767E-05    1.89 m     76.41 mm     9.14 mm  
 550.00 MeV   1.409E-01  7.127E-05    2.23 m     90.47 mm    10.68 mm  
 600.00 MeV   1.318E-01  6.588E-05    2.60 m    104.33 mm    12.33 mm  
 650.00 MeV   1.236E-01  6.128E-05    2.99 m    118.17 mm    14.08 mm  
 700.00 MeV   1.164E-01  5.731E-05    3.41 m    132.12 mm    15.95 mm  
 800.00 MeV   1.044E-01  5.078E-05    4.31 m    184.29 mm    19.98 mm  
 900.00 MeV   9.496E-02  4.564E-05    5.32 m    232.79 mm    24.42 mm  
   1.00 GeV   8.724E-02  4.148E-05    6.42 m    280.00 mm    29.25 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2468E+01                keV / (ug/cm2) 
  2.2468E+01                MeV / (mg/cm2) 
  2.2468E+04                keV / (mg/cm2) 
  1.5489E+02                 eV / (1E15 atoms/cm2)
  2.0134E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
